gene,importance
RCOR3,5.95271664213457e-05
TOGARAM1,5.952334073733222e-05
ZMYM3,5.950388349413655e-05
SMIM29,5.949661563729989e-05
CMTM7,5.948956624272436e-05
DEAF1,5.928851612691315e-05
UBA6,5.922486089908622e-05
BTN3A1,5.920211660895819e-05
DSG2,5.914086656066354e-05
NIT2,5.9126186686701474e-05
ZNF880,5.909196727193308e-05
TSPAN2,5.897824203127246e-05
SS18L1,5.8874701901883545e-05
FAM217B,5.8663580933311985e-05
HBQ1,5.855647511293186e-05
KLHL12,5.8325956381336486e-05
NT5DC1,5.815084513864566e-05
CHRDL1,5.785627671347968e-05
ZNF664,5.766957349104509e-05
NFXL1,5.763531837573211e-05
DPF2,5.7632820571797116e-05
FOXK1,5.760627817720594e-05
LCA5,5.753781171030935e-05
PROK2,5.731439909446676e-05
SERPINB8,5.728485087282591e-05
TBC1D4,5.719124093414181e-05
LINC01278,5.662310907797249e-05
CHRNB1,5.6542025874633675e-05
BBC3,5.63614262312134e-05
RNF170,5.632812372390719e-05
ZBTB41,5.629400845655614e-05
HIST1H2AG,5.618573719349837e-05
EXD2,5.6110538031826885e-05
CHMP7,5.6050898611741076e-05
RPS6KA5,5.58334295359038e-05
CDADC1,5.558797175965786e-05
TTC19,5.539756895876522e-05
ZNF569,5.5312511358928646e-05
UGT3A2,5.526163934502501e-05
C1orf35,5.519963906660076e-05
HELQ,5.503751877239582e-05
LOC100286925,5.503630333961672e-05
ALDH7A1,5.497238628653919e-05
PLXNA1,5.494275185887201e-05
DROSHA,5.489406047715661e-05
CASP6,5.4826989778262944e-05
MANBA,5.4639289970344174e-05
ZNF354A,5.462147663962223e-05
TMEM267,5.441867368865744e-05
ARHGEF18,5.437912491382693e-05
RAB29,5.437212355455549e-05
CD2,5.430085555141056e-05
PLD1,5.419900650127268e-05
CNOT11,5.3872818715962215e-05
SLC38A9,5.3695069576678356e-05
SDHAF1,5.355626036305767e-05
NUP35,5.355534975939716e-05
SIRT5,5.335427850942841e-05
NCOA5,5.326312297608989e-05
CCDC28A,5.322329273902446e-05
C18orf8,5.288585054194248e-05
SUPT3H,5.281541964680108e-05
LOC100289495,5.268817614309787e-05
TMEM127,5.268208123245682e-05
QSOX2,5.2659130582253254e-05
FAM120B,5.261936404333245e-05
PTPN18,5.243317259239635e-05
BMS1P5,5.241156604668491e-05
MTERF3,5.2333097608052014e-05
CSRP1,5.229573802506396e-05
ZNF273,5.219431870363109e-05
C19orf38,5.2180148595542594e-05
DRG1,5.202941928578611e-05
BIVM,5.201276785960995e-05
DNAJC9-AS1,5.186799960710175e-05
AP1AR,5.18412275758724e-05
ONECUT2,5.153815500981173e-05
SCN3A,5.153552022455113e-05
CHAMP1,5.147675622895897e-05
L3MBTL4,5.1463126658180565e-05
ACTR8,5.1419102359473535e-05
TOP3B,5.140813240536049e-05
RBM15B,5.104901841413679e-05
ACSM3,5.103953421939561e-05
IL1B,5.0958245490048004e-05
PAWR,5.082259574690711e-05
CDKN2AIP,5.077686647089437e-05
BANK1,5.027217458288644e-05
DYRK4,5.00404028394884e-05
ABCA5,5.003326477489798e-05
MFSD11,5.0028653237648784e-05
LYSMD2,5.001753052179863e-05
QDPR,4.999977072383791e-05
P2RY13,4.991014086112488e-05
ZFAND4,4.9813795080479955e-05
PGAM5,4.970124315910186e-05
TMEM192,4.963426922438244e-05
ZNF84,4.961346492910116e-05
PPFIA2,4.958175348201506e-05
KEAP1,4.9268064365871645e-05
RIPOR3,4.918512733580406e-05
EBF3,4.91186689462994e-05
PSD3,4.90661816257061e-05
LGALS12,4.905201087723519e-05
ZC3H8,4.882603561964423e-05
NEMP1,4.878716608534104e-05
NIPAL3,4.876663140025838e-05
FOXJ2,4.87630455824568e-05
WWC3,4.868805065150942e-05
TNFRSF14,4.863924853721854e-05
RNF103,4.8568472318475414e-05
OGDH,4.85028677075939e-05
RCAN3,4.836225707905604e-05
